MachineName,StatusType,StDateTime,EndDateTime,PartCount,ProgNo,CycleRecord,AlmMsg,ControlPartCount,Date,Time_Cycle,Cycle_sec,time_of_day,Weekend,TimeOut,Hours,Minutes
VCENTR-70,2.0,2023-05-11 09:26:26,2023-05-11 09:26:39,0.0,,False,,36.0,2023-05-11,0 days 00:00:13,13.0,День,0,<1 min,9,26
CK50,2.0,2023-05-11 09:26:27,2023-05-11 09:26:32,0.0,,False,,50.0,2023-05-11,0 days 00:00:05,5.0,День,0,<1 min,9,26
CK50,1.0,2023-05-11 09:26:32,2023-05-11 09:27:53,1.0,O0075,True,,51.0,2023-05-11,0 days 00:01:21,81.0,День,0,1-5 min,9,26
V26/85,2.0,2023-05-11 09:26:34,2023-05-11 09:27:01,0.0,,False,,26.0,2023-05-11,0 days 00:00:27,27.0,День,0,<1 min,9,26
V26/60_1,1.0,2023-05-11 09:26:34,2023-05-11 09:27:55,1.0,O1239,True,,54.0,2023-05-11,0 days 00:01:21,81.0,День,0,1-5 min,9,26
VCENTR-70,1.0,2023-05-11 09:26:39,2023-05-11 09:28:35,1.0,O1120,True,,37.0,2023-05-11,0 days 00:01:56,116.0,День,0,1-5 min,9,26
V26/85,1.0,2023-05-11 09:27:01,2023-05-11 09:27:58,1.0,O2005,True,,27.0,2023-05-11,0 days 00:00:57,57.0,День,0,<1 min,9,27
CK50,2.0,2023-05-11 09:27:53,2023-05-11 09:28:18,0.0,,False,,51.0,2023-05-11,0 days 00:00:25,25.0,День,0,<1 min,9,27
V26/60_1,2.0,2023-05-11 09:27:55,2023-05-11 09:28:09,0.0,,False,,54.0,2023-05-11,0 days 00:00:14,14.0,День,0,<1 min,9,27
V26/85,2.0,2023-05-11 09:27:58,2023-05-11 09:28:23,0.0,,False,,27.0,2023-05-11,0 days 00:00:25,25.0,День,0,<1 min,9,27
V26/60_1,1.0,2023-05-11 09:28:09,2023-05-11 09:29:30,1.0,O1239,True,,55.0,2023-05-11,0 days 00:01:21,81.0,День,0,1-5 min,9,28
V26/60_2,2.0,2023-05-11 09:28:11,2023-05-11 09:28:28,0.0,,False,,30.0,2023-05-11,0 days 00:00:17,17.0,День,0,<1 min,9,28
CK50,1.0,2023-05-11 09:28:18,2023-05-11 09:29:40,1.0,O0075,True,,51.0,2023-05-11,0 days 00:01:22,82.0,День,0,1-5 min,9,28
V26/85,1.0,2023-05-11 09:28:23,2023-05-11 09:29:20,1.0,O2005,True,,28.0,2023-05-11,0 days 00:00:57,57.0,День,0,<1 min,9,28
V26/60_2,1.0,2023-05-11 09:28:28,2023-05-11 09:31:09,1.0,O1120,True,,31.0,2023-05-11,0 days 00:02:41,161.0,День,0,1-5 min,9,28
VCENTR-70,2.0,2023-05-11 09:28:35,2023-05-11 09:28:48,0.0,,False,,37.0,2023-05-11,0 days 00:00:13,13.0,День,0,<1 min,9,28
VCENTR-70,1.0,2023-05-11 09:28:48,2023-05-11 09:30:43,1.0,O1120,True,,38.0,2023-05-11,0 days 00:01:55,115.0,День,0,1-5 min,9,28
V26/85,2.0,2023-05-11 09:29:20,2023-05-11 09:29:33,0.0,,False,,28.0,2023-05-11,0 days 00:00:13,13.0,День,0,<1 min,9,29
V26/60_1,2.0,2023-05-11 09:29:30,2023-05-11 09:29:46,0.0,,False,,55.0,2023-05-11,0 days 00:00:16,16.0,День,0,<1 min,9,29
V26/85,1.0,2023-05-11 09:29:33,2023-05-11 09:30:30,1.0,O2005,True,,29.0,2023-05-11,0 days 00:00:57,57.0,День,0,<1 min,9,29
CK50,2.0,2023-05-11 09:29:40,2023-05-11 09:29:45,0.0,,False,,52.0,2023-05-11,0 days 00:00:05,5.0,День,0,<1 min,9,29
CK50,1.0,2023-05-11 09:29:45,2023-05-11 09:31:06,1.0,O0075,True,,53.0,2023-05-11,0 days 00:01:21,81.0,День,0,1-5 min,9,29
V26/60_1,1.0,2023-05-11 09:29:46,2023-05-11 09:31:07,1.0,O1239,True,,56.0,2023-05-11,0 days 00:01:21,81.0,День,0,1-5 min,9,29
V26/85,2.0,2023-05-11 09:30:30,2023-05-11 09:30:43,0.0,,False,,29.0,2023-05-11,0 days 00:00:13,13.0,День,0,<1 min,9,30
VCENTR-70,2.0,2023-05-11 09:30:43,2023-05-11 09:30:55,0.0,,False,,38.0,2023-05-11,0 days 00:00:12,12.0,День,0,<1 min,9,30
V26/85,1.0,2023-05-11 09:30:43,2023-05-11 09:31:41,1.0,O2005,True,,30.0,2023-05-11,0 days 00:00:58,58.0,День,0,<1 min,9,30
VCENTR-70,1.0,2023-05-11 09:30:55,2023-05-11 09:32:50,1.0,O1120,True,,38.0,2023-05-11,0 days 00:01:55,115.0,День,0,1-5 min,9,30
CK50,2.0,2023-05-11 09:31:06,2023-05-11 09:31:24,0.0,,False,,53.0,2023-05-11,0 days 00:00:18,18.0,День,0,<1 min,9,31
V26/60_1,2.0,2023-05-11 09:31:07,2023-05-11 09:31:41,0.0,,False,,56.0,2023-05-11,0 days 00:00:34,34.0,День,0,<1 min,9,31
V26/60_2,2.0,2023-05-11 09:31:09,2023-05-11 09:31:24,0.0,,False,,31.0,2023-05-11,0 days 00:00:15,15.0,День,0,<1 min,9,31
CK50,1.0,2023-05-11 09:31:24,2023-05-11 09:32:46,1.0,O0075,True,,54.0,2023-05-11,0 days 00:01:22,82.0,День,0,1-5 min,9,31
V26/60_2,1.0,2023-05-11 09:31:24,2023-05-11 09:34:04,1.0,O1120,True,,32.0,2023-05-11,0 days 00:02:40,160.0,День,0,1-5 min,9,31
V26/85,2.0,2023-05-11 09:31:41,2023-05-11 09:31:54,0.0,,False,,30.0,2023-05-11,0 days 00:00:13,13.0,День,0,<1 min,9,31
V26/60_1,1.0,2023-05-11 09:31:41,2023-05-11 09:33:02,1.0,O1239,True,,57.0,2023-05-11,0 days 00:01:21,81.0,День,0,1-5 min,9,31
V26/85,1.0,2023-05-11 09:31:54,2023-05-11 09:32:50,1.0,O2005,True,,31.0,2023-05-11,0 days 00:00:56,56.0,День,0,<1 min,9,31
CK50,2.0,2023-05-11 09:32:46,2023-05-11 09:32:54,0.0,,False,,54.0,2023-05-11,0 days 00:00:08,8.0,День,0,<1 min,9,32
VCENTR-70,2.0,2023-05-11 09:32:50,2023-05-11 09:33:02,0.0,,False,,39.0,2023-05-11,0 days 00:00:12,12.0,День,0,<1 min,9,32
V26/85,2.0,2023-05-11 09:32:50,2023-05-11 09:33:05,0.0,,False,,31.0,2023-05-11,0 days 00:00:15,15.0,День,0,<1 min,9,32
CK50,1.0,2023-05-11 09:32:54,2023-05-11 09:34:16,1.0,O0075,True,,55.0,2023-05-11,0 days 00:01:22,82.0,День,0,1-5 min,9,32
VCENTR-70,1.0,2023-05-11 09:33:02,2023-05-11 09:34:58,1.0,O1120,True,,40.0,2023-05-11,0 days 00:01:56,116.0,День,0,1-5 min,9,33
V26/60_1,2.0,2023-05-11 09:33:02,2023-05-11 09:33:19,0.0,,False,,57.0,2023-05-11,0 days 00:00:17,17.0,День,0,<1 min,9,33
V26/85,1.0,2023-05-11 09:33:05,2023-05-11 09:34:01,1.0,O2005,True,,32.0,2023-05-11,0 days 00:00:56,56.0,День,0,<1 min,9,33
V26/60_1,1.0,2023-05-11 09:33:19,2023-05-11 09:34:40,1.0,O1239,True,,58.0,2023-05-11,0 days 00:01:21,81.0,День,0,1-5 min,9,33
V26/85,2.0,2023-05-11 09:34:01,2023-05-11 09:34:17,0.0,,False,,32.0,2023-05-11,0 days 00:00:16,16.0,День,0,<1 min,9,34
V26/60_2,2.0,2023-05-11 09:34:04,2023-05-11 09:34:16,0.0,,False,,32.0,2023-05-11,0 days 00:00:12,12.0,День,0,<1 min,9,34
CK50,2.0,2023-05-11 09:34:16,2023-05-11 09:34:24,0.0,,False,,55.0,2023-05-11,0 days 00:00:08,8.0,День,0,<1 min,9,34
V26/60_2,1.0,2023-05-11 09:34:16,2023-05-11 09:36:55,1.0,O1120,True,,33.0,2023-05-11,0 days 00:02:39,159.0,День,0,1-5 min,9,34
V26/85,1.0,2023-05-11 09:34:17,2023-05-11 09:35:14,1.0,O2005,True,,33.0,2023-05-11,0 days 00:00:57,57.0,День,0,<1 min,9,34
CK50,1.0,2023-05-11 09:34:24,2023-05-11 09:35:45,1.0,O0075,True,,56.0,2023-05-11,0 days 00:01:21,81.0,День,0,1-5 min,9,34
V26/60_1,2.0,2023-05-11 09:34:40,2023-05-11 09:47:18,0.0,,False,,58.0,2023-05-11,0 days 00:12:38,758.0,День,0,5-20 min,9,34
VCENTR-70,2.0,2023-05-11 09:34:58,2023-05-11 09:35:13,0.0,,False,,40.0,2023-05-11,0 days 00:00:15,15.0,День,0,<1 min,9,34
VCENTR-70,1.0,2023-05-11 09:35:13,2023-05-11 09:37:08,1.0,O1120,True,,40.0,2023-05-11,0 days 00:01:55,115.0,День,0,1-5 min,9,35
V26/85,2.0,2023-05-11 09:35:14,2023-05-11 09:35:31,0.0,,False,,33.0,2023-05-11,0 days 00:00:17,17.0,День,0,<1 min,9,35
V26/85,1.0,2023-05-11 09:35:31,2023-05-11 09:36:28,1.0,O2005,True,,34.0,2023-05-11,0 days 00:00:57,57.0,День,0,<1 min,9,35
CK50,2.0,2023-05-11 09:35:45,2023-05-11 09:35:50,0.0,,False,,56.0,2023-05-11,0 days 00:00:05,5.0,День,0,<1 min,9,35
CK50,1.0,2023-05-11 09:35:50,2023-05-11 09:37:11,1.0,O0075,True,,57.0,2023-05-11,0 days 00:01:21,81.0,День,0,1-5 min,9,35
V26/85,2.0,2023-05-11 09:36:28,2023-05-11 09:37:24,0.0,,False,,34.0,2023-05-11,0 days 00:00:56,56.0,День,0,<1 min,9,36
V26/60_2,2.0,2023-05-11 09:36:55,2023-05-11 09:47:39,0.0,,False,,33.0,2023-05-11,0 days 00:10:44,644.0,День,0,5-20 min,9,36
VCENTR-70,2.0,2023-05-11 09:37:08,2023-05-11 09:37:22,0.0,,False,,41.0,2023-05-11,0 days 00:00:14,14.0,День,0,<1 min,9,37
CK50,2.0,2023-05-11 09:37:11,2023-05-11 09:37:23,0.0,,False,,57.0,2023-05-11,0 days 00:00:12,12.0,День,0,<1 min,9,37
VCENTR-70,1.0,2023-05-11 09:37:22,2023-05-11 09:39:18,1.0,O1120,True,,41.0,2023-05-11,0 days 00:01:56,116.0,День,0,1-5 min,9,37
CK50,1.0,2023-05-11 09:37:23,2023-05-11 09:38:44,1.0,O0075,True,,58.0,2023-05-11,0 days 00:01:21,81.0,День,0,1-5 min,9,37
V26/85,1.0,2023-05-11 09:37:24,2023-05-11 09:38:21,1.0,O2005,True,,35.0,2023-05-11,0 days 00:00:57,57.0,День,0,<1 min,9,37
V26/85,2.0,2023-05-11 09:38:21,2023-05-11 09:46:35,0.0,,False,,35.0,2023-05-11,0 days 00:08:14,494.0,День,0,5-20 min,9,38
CK50,2.0,2023-05-11 09:38:44,2023-05-11 09:38:49,0.0,,False,,58.0,2023-05-11,0 days 00:00:05,5.0,День,0,<1 min,9,38
CK50,1.0,2023-05-11 09:38:49,2023-05-11 09:40:10,1.0,O0075,True,,59.0,2023-05-11,0 days 00:01:21,81.0,День,0,1-5 min,9,38
VCENTR-70,2.0,2023-05-11 09:39:18,2023-05-11 09:39:33,0.0,,False,,42.0,2023-05-11,0 days 00:00:15,15.0,День,0,<1 min,9,39
VCENTR-70,1.0,2023-05-11 09:39:33,2023-05-11 09:41:28,1.0,O1120,True,,43.0,2023-05-11,0 days 00:01:55,115.0,День,0,1-5 min,9,39
CK50,2.0,2023-05-11 09:40:10,2023-05-11 09:40:47,0.0,,False,,59.0,2023-05-11,0 days 00:00:37,37.0,День,0,<1 min,9,40
CK50,1.0,2023-05-11 09:40:47,2023-05-11 09:42:09,1.0,O0075,True,,60.0,2023-05-11,0 days 00:01:22,82.0,День,0,1-5 min,9,40
