Date,time_of_day,MachineName,ustanov,bez_ustanova,rabotal
2022-02-09,День,CK50,1240.0,27525.0,14435.0
2022-02-09,День,V20,3229.0,30844.0,9127.0
2022-02-09,День,V26/60_1,1612.0,29118.0,12470.0
2022-02-09,День,V26/60_2,2259.0,33494.0,7447.0
2022-02-09,День,V26/85,3144.0,34098.0,5958.0
2022-02-09,День,VCENTR-102,143.0,36810.0,6247.0
2022-02-09,День,VCENTR-70,129.0,43071.0,0.0
2022-02-09,День,VTM9,173.0,43027.0,0.0
2022-02-09,Ночь,CK50,2283.0,32685.0,8232.0
2022-02-09,Ночь,V20,3702.0,36049.0,3449.0
2022-02-09,Ночь,V26/60_1,4297.0,6346.0,32557.0
2022-02-09,Ночь,V26/60_2,4302.0,21619.0,17279.0
2022-02-09,Ночь,V26/85,4297.0,16578.0,22325.0
2022-02-09,Ночь,VCENTR-102,332.0,34500.0,8368.0
2022-02-09,Ночь,VCENTR-70,2725.0,26344.0,14131.0
2022-02-09,Ночь,VTM9,35.0,43159.0,6.0
2022-02-10,День,CK50,4639.0,17109.0,21452.0
2022-02-10,День,V20,1158.0,40289.0,1753.0
2022-02-10,День,V26/60_1,3852.0,13000.0,26348.0
2022-02-10,День,V26/60_2,4767.0,16174.0,22259.0
2022-02-10,День,V26/85,2478.0,31108.0,9614.0
2022-02-10,День,VCENTR-102,367.0,38452.0,4381.0
2022-02-10,День,VCENTR-70,2861.0,5644.0,34695.0
2022-02-10,День,VTM9,1347.0,36967.0,4886.0
2022-02-10,Ночь,CK50,336.0,41642.0,1222.0
2022-02-10,Ночь,V20,1016.0,40713.0,1471.0
2022-02-10,Ночь,V26/60_1,3652.0,8302.0,31246.0
2022-02-10,Ночь,V26/60_2,5471.0,12231.0,25498.0
2022-02-10,Ночь,V26/85,3355.0,19914.0,19931.0
2022-02-10,Ночь,VCENTR-102,0.0,43200.0,0.0
2022-02-10,Ночь,VCENTR-70,3365.0,12647.0,27188.0
2022-02-10,Ночь,VTM9,1129.0,38664.0,3407.0
2022-02-11,День,CK50,6088.0,15620.0,21492.0
2022-02-11,День,V20,6664.0,25234.0,11302.0
2022-02-11,День,V26/60_1,3184.0,11993.0,28023.0
2022-02-11,День,V26/60_2,6005.0,12505.0,24690.0
2022-02-11,День,V26/85,4201.0,22525.0,16474.0
2022-02-11,День,VCENTR-102,0.0,43200.0,0.0
2022-02-11,День,VCENTR-70,1212.0,25990.0,15998.0
2022-02-11,День,VTM9,0.0,43200.0,0.0
2022-02-11,Ночь,CK50,7744.0,18741.0,16715.0
2022-02-11,Ночь,V20,6885.0,23836.0,12479.0
2022-02-11,Ночь,V26/60_1,3101.0,15861.0,24238.0
2022-02-11,Ночь,V26/60_2,3100.0,6488.0,33612.0
2022-02-11,Ночь,V26/85,4080.0,22222.0,16898.0
2022-02-11,Ночь,VCENTR-102,0.0,43200.0,0.0
2022-02-11,Ночь,VCENTR-70,0.0,43200.0,0.0
2022-02-11,Ночь,VTM9,0.0,43200.0,0.0
2022-02-12,День,CK50,7967.0,9907.0,25326.0
2022-02-12,День,V20,8507.0,16789.0,17904.0
2022-02-12,День,V26/60_1,2431.0,6305.0,34464.0
2022-02-12,День,V26/60_2,3307.0,6566.0,33327.0
2022-02-12,День,V26/85,5483.0,15234.0,22483.0
2022-02-12,День,VCENTR-102,0.0,43200.0,0.0
2022-02-12,День,VCENTR-70,7908.0,13960.0,21332.0
2022-02-12,День,VTM9,0.0,43200.0,0.0
2022-02-12,Ночь,CK50,6233.0,15508.0,21459.0
2022-02-12,Ночь,V20,0.0,43200.0,0.0
2022-02-12,Ночь,V26/60_1,4733.0,8317.0,30150.0
2022-02-12,Ночь,V26/60_2,6250.0,3783.0,33167.0
2022-02-12,Ночь,V26/85,7207.0,9675.0,26318.0
2022-02-12,Ночь,VCENTR-102,0.0,43200.0,0.0
2022-02-12,Ночь,VCENTR-70,6257.0,13916.0,23027.0
2022-02-12,Ночь,VTM9,88.0,42514.0,598.0
2022-02-13,День,CK50,7740.0,15977.0,19483.0
2022-02-13,День,V20,744.0,40551.0,1905.0
2022-02-13,День,V26/60_1,2777.0,9098.0,31325.0
2022-02-13,День,V26/60_2,2924.0,6588.0,33688.0
2022-02-13,День,V26/85,3406.0,19243.0,20551.0
2022-02-13,День,VCENTR-102,0.0,43200.0,0.0
2022-02-13,День,VCENTR-70,6806.0,28921.0,7473.0
2022-02-13,День,VTM9,4208.0,18525.0,20467.0
2022-02-13,Ночь,CK50,7106.0,7398.0,28696.0
2022-02-13,Ночь,V20,0.0,43200.0,0.0
